Mun;Referen;N.Fijo ;D;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic.;Om
088;7974030;6153612;U;001;001;1140;GAZTELU                       ;029 ;  ;BC;A  ;V ;    48,45;EU
088;7974030;6153613;F;001;001;1140;GAZTELU                       ;029 ;  ;BC;B  ;V ;    72,60;EU
088;7974031;5194982;H;001;000;1140;GAZTELU                       ;901 ;  ;00;   ;S ;  1350,00;MP
088;7974032;3136052;Y;001;001;1140;GAZTELU                       ;019 ;  ;00;   ;B ;   144,00;MI
088;7974032;3136052;Y;002;001;1140;GAZTELU                       ;019 ;  ;01;   ;B ;   144,00;MI
088;7974032;3136052;Y;003;001;1140;GAZTELU                       ;019 ;  ;01;   ;V ;   144,00;MI
088;7974032;3136052;Y;004;001;1140;GAZTELU                       ;019 ;  ;02;   ;B ;   288,00;MI
088;7974032;3136052;Y;005;001;1140;GAZTELU                       ;019 ;  ;BH;   ;B ;   115,00;MI
088;7974033;3136042;H;001;001;1140;GAZTELU                       ;026 ;  ;00;   ;B ;   204,00;MI
088;7974033;3136042;H;002;001;1140;GAZTELU                       ;026 ;  ;01;   ;V ;   204,00;MI
088;7974033;3136042;H;003;001;1140;GAZTELU                       ;026 ;  ;02;   ;H ;   204,00;MI
088;7974033;3136042;H;004;001;1140;GAZTELU                       ;026 ;  ;BH;   ;T ;   102,00;MI
088;7974034;3136035;H;001;001;1120;DISEMINADOS                   ;040 ;  ;00;   ;B ;    72,00;MI
088;7974034;3136035;H;002;001;1120;DISEMINADOS                   ;040 ;  ;01;   ;V ;    60,00;MI
088;7974034;3136035;H;003;001;1120;DISEMINADOS                   ;040 ;  ;01;   ;B ;   210,00;MI
088;7974034;3136035;H;004;001;1120;DISEMINADOS                   ;040 ;  ;BH;   ;B ;   216,00;MI
088;7974035;6091126;T;001;001;1120;DISEMINADOS                   ;049A;  ;00;NOR;G ;    22,52;MI
088;7974035;6091126;T;002;001;1120;DISEMINADOS                   ;049A;  ;00;NOR;V ;    88,08;EU
088;7974035;6091126;T;003;001;1120;DISEMINADOS                   ;049A;  ;01;NOR;V ;    82,15;EU
088;7974035;6091127;E;001;001;1120;DISEMINADOS                   ;049B;  ;00;SUR;G ;    22,52;MI
088;7974035;6091127;E;002;001;1120;DISEMINADOS                   ;049B;  ;00;SUR;V ;    88,08;EU
088;7974035;6091127;E;003;001;1120;DISEMINADOS                   ;049B;  ;01;SUR;V ;    88,15;EU
088;7974036;6078970;Y;001;001;1140;GAZTELU                       ;039 ;  ;SM;A  ;G ;    73,20;MI
088;7974036;6078970;Y;002;001;1140;GAZTELU                       ;039 ;  ;SM;A  ;T ;     9,80;MI
088;7974036;6078970;Y;003;001;1140;GAZTELU                       ;039 ;  ;SM;A  ;V ;     4,90;MI
088;7974036;6078970;Y;004;001;1140;GAZTELU                       ;039 ;  ;00;A  ;V ;    69,85;MI
088;7974036;6078970;Y;005;001;1140;GAZTELU                       ;039 ;  ;00;A  ;Z ;    19,70;MP
088;7974036;6078970;Y;006;001;1140;GAZTELU                       ;039 ;  ;01;A  ;V ;    63,96;MI
088;7974036;6078972;B;001;001;1140;GAZTELU                       ;039 ;  ;SM;B  ;G ;    39,10;MI
088;7974036;6078972;B;002;001;1140;GAZTELU                       ;039 ;  ;SM;B  ;T ;    43,70;MI
088;7974036;6078972;B;003;001;1140;GAZTELU                       ;039 ;  ;SM;B  ;V ;     3,60;MI
088;7974036;6078972;B;004;001;1140;GAZTELU                       ;039 ;  ;00;B  ;V ;    69,85;MI
088;7974036;6078972;B;005;001;1140;GAZTELU                       ;039 ;  ;00;B  ;Z ;    19,70;MP
088;7974036;6078972;B;006;001;1140;GAZTELU                       ;039 ;  ;01;B  ;V ;    63,96;MI
088;7974037;6077963;H;001;001;1140;GAZTELU                       ;038 ;  ;-1;A  ;G ;    55,13;EU
088;7974037;6077963;H;002;001;1140;GAZTELU                       ;038 ;  ;00;A  ;V ;    48,52;EU
088;7974037;6077963;H;003;001;1140;GAZTELU                       ;038 ;  ;BC;A  ;V ;    53,55;EU
088;7974037;6077964;P;001;001;1140;GAZTELU                       ;038 ;  ;-1;B  ;G ;    55,13;EU
088;7974037;6077964;P;002;001;1140;GAZTELU                       ;038 ;  ;00;B  ;V ;    55,54;EU
